[0211/233153.208:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/build/three.js (21172)
[0211/233153.570:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0211/233153.589:INFO:CONSOLE(255)] "Loaded: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container40.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0211/233153.592:INFO:CONSOLE(271)] "load end: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container40.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0211/233153.769:INFO:CONSOLE(19709)] "THREE.WebGLRenderer: image is not power of two (411x220). Resized to 256x128 [object HTMLImageElement]", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/build/three.js (19709)
[0211/233154.305:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0211/233154.370:INFO:CONSOLE(255)] "Loaded: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/oil_tanker_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0211/233154.370:INFO:CONSOLE(271)] "load end: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/oil_tanker_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0211/233154.774:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0211/233154.861:INFO:CONSOLE(255)] "Loaded: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container_ship_loaded.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0211/233154.861:INFO:CONSOLE(271)] "load end: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container_ship_loaded.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0211/233155.072:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0211/233155.076:INFO:CONSOLE(255)] "Loaded: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0211/233155.076:INFO:CONSOLE(271)] "load end: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/container.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0211/233155.265:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0211/233155.287:INFO:CONSOLE(255)] "Loaded: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/warehouse.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0211/233155.337:INFO:CONSOLE(271)] "load end: file:C:/Users/diefe/Documents/login_2024/modelos/ModeloLogin_Cenario_2030_graficos_container/ModeloLogin_2030_BELEM/3d/warehouse.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
